PG.ProteinGroups	PG.ProteinAccessions	PG.Genes	PG.ProteinDescriptions	Neurite_1	Neurite_2	Neurite_3	Neurite_4	Neurite_5	Neurite_6	 Soma_1	 Soma_2	 Soma_3	 Soma_4	 Soma_5
O00541	O00541	PES1	Pescadillo homolog	1	1	1	1	1	1	2432.233887	5338.536621	7648.852051	8201.074219	7776.42334
O00559	O00559	EBAG9	Receptor-binding cancer antigen expressed on SiSo cells	Filtered	Filtered	498.1825562	Filtered	Filtered	1262.028442	13135.24316	14360.69336	23413.07031	17971.77344	19388.26563
O00560	O00560	SDCBP	Syntenin-1	107916.4453	104202.9922	106033.4922	101278.1094	106767.0234	101122.2344	148160.1875	150739.9531	142291.5	141259.2969	141499.4688
O00562	O00562	PITPNM1	Membrane-associated phosphatidylinositol transfer protein 1	81150.9375	72279.46094	78960.13281	72907.08594	81688.78125	78048.00781	37298.20313	49258.84766	48054.12891	48025.08984	46276.28906
O00566	O00566	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	1	1	1	1	1	1	10904.07227	12158.6709	10160.1748	11505.62207	12712.12305
O00567	O00567	NOP56	Nucleolar protein 56	687.8868408	317.055481	Filtered	2256.659424	7429.75	1131.449341	244595.2656	247204.4375	263272.3438	307739.25	265786.125
O00571	O00571	DDX3X	ATP-dependent RNA helicase DDX3X	39500.28906	43193.62109	31978.96289	37630.60156	37115.29688	39740.38672	208792.9688	236077.3438	149988.0625	243631.8438	169935.2344
O00625	O00625	PIR	Pirin	4735.508789	5584.619629	6238.569336	6096.842773	5959.549805	7641.135742	3612.221191	3052.112793	2388.748779	3189.546631	3925.358887
O00629	O00629	KPNA4	Importin subunit alpha-3	102712.0625	96494.59375	99359.89844	101890.3984	101667.8594	93524.0625	98395.73438	107267.2969	84537.41406	110257.2266	105857.6797
O00743	O00743	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	109532.0234	109814.8047	108416.6484	101740.4375	114384.0313	104845.2734	78624.75	76606.38281	92147.625	78388.98438	77487.03125
O00746	O00746	NME4	"Nucleoside diphosphate kinase, mitochondrial"	1585.724365	4067.940186	3808.001221	3852.05957	2607.385986	2896.68457	11526.46973	7111.989258	10855.84863	11612.73828	11550.99316
O00750	O00750	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	33604.00781	24714.73633	19991.44141	37732.24609	36212.35938	17501.68555	15633.68066	27809.26758	25558.60742	17328.17188	15877.01367
O00754	O00754	MAN2B1	Lysosomal alpha-mannosidase	5897.328125	5995.996094	4694.084961	6432.837891	5482.665039	6659.235352	20599.93945	19163.88281	16176.09375	21232.43164	20394.3125
O00764	O00764	PDXK	Pyridoxal kinase	156809.5313	161497.9688	168219.3125	173852.0156	183160.8438	187940.125	119331.4922	129869.5547	120983.625	135123.1719	133953.8906
O00767	O00767	SCD	Stearoyl-CoA desaturase	Filtered	Filtered	3401.764893	4161.611816	Filtered	2986.25415	32433.10156	25821.94531	26429.23047	24710.48633	27686.14844
O14490	O14490	DLGAP1	Disks large-associated protein 1	1028.139038	2114.924561	1938.940918	3637.389893	2821.113037	1843.91748	3611.443359	3357.585693	3557.969971	2888.384033	2819.609131
O14492	O14492	SH2B2	SH2B adapter protein 2	16933.87305	16533.23633	14533.02734	15511.43555	26517.62891	26915.9707	18752.36133	17300.10938	12950.48535	24510.41406	13013.29688
O14497	O14497	ARID1A	AT-rich interactive domain-containing protein 1A	9236.47168	13790.41016	8316.268555	3966.282959	18121.92578	6249.074707	24221.38086	33593.34766	28139.4707	24541.74219	33315.71875
O14508	O14508	SOCS2	Suppressor of cytokine signaling 2	19424.01172	20881.60742	19189.55664	20269.85938	19712.55078	20669.83789	16368	19453.71094	18645.94922	18606.99805	17683.92578
O14514	O14514	ADGRB1	Adhesion G protein-coupled receptor B1	14339.1416	15843.12402	16625.61914	16748.52539	16949.73438	15812.20605	27212.03125	27444.64258	32564.49609	26756.55078	28267.58984
O14522	O14522	PTPRT	Receptor-type tyrosine-protein phosphatase T	138245.1875	128363.3281	138612.9063	134055.8125	139325.375	129428.8203	55935.55859	49398.9375	60138.50391	54630.07031	47562.50781
O14523	O14523	C2CD2L	Phospholipid transfer protein C2CD2L	25931.73438	25748.24023	26168.12109	24624.99609	24321.5625	24208.94727	22161.09766	21920.9043	24263.10547	20394.04492	20972.83594
O14525	O14525	ASTN1	Astrotactin-1	34329.85938	28712.89063	32977.63672	32770.52344	30383.99219	28386.93945	39684.57422	39137.20313	44546.70313	32492.18359	37571.23828
O14530	O14530	TXNDC9	Thioredoxin domain-containing protein 9	14445.96582	14376.25879	14310.70801	13891.31641	13492.77539	15295.52148	15183.01074	15459.39551	14911.40137	16204.80859	15853.77246
O14531	O14531	DPYSL4	Dihydropyrimidinase-related protein 4	569543.6875	552990.5	593144.8125	586599.8125	567940.875	565363	374167.4688	405070.2813	423798.9688	396998.2188	392708.875
O14545	O14545	TRAFD1	TRAF-type zinc finger domain-containing protein 1	6237.161621	5748.776367	6394.494141	5916.376953	5195.414063	6380.166504	7536.176758	6695.982422	8015.583984	7197.892578	7534.438965
O14548	O14548	COX7A2L	"Cytochrome c oxidase subunit 7A-related protein, mitochondrial"	18592.61328	18007.88086	20834.05859	22928.49219	22087.42188	23427.66211	34842.57813	35452.21094	43702.54297	38492.34375	39650.19531
O14559	O14559	ARHGAP33	Rho GTPase-activating protein 33	82980.29688	52249.31641	57946.08203	54636.59375	57103.49219	87046.72656	49219.92188	49904.34766	51958.61719	55253.8125	49026.96094
O14561	O14561	NDUFAB1	"Acyl carrier protein, mitochondrial"	14774.77344	14488.42578	6493.463379	8915.883789	16613.04492	10427.4502	30095.53516	26668.56836	30924.76953	30124.51563	36930.71875
O14562	O14562	UBFD1	Ubiquitin domain-containing protein UBFD1	148478.0156	144168.3125	158347.3438	154927.0156	155317.875	150422	119543.3984	129859.7031	131178.8906	127362.3125	127575.9531
O14569	O14569	CYB561D2	Cytochrome b561 domain-containing protein 2	4475.016113	8924.863281	7024.63623	12101.21289	8674.332031	10637.60938	21217.83008	13739.46875	20602.13672	18323.84766	19104.70313
O14576	O14576	DYNC1I1	Cytoplasmic dynein 1 intermediate chain 1	4963.141602	4609.549316	2993.130859	4456.863281	7369.219238	7407.456543	1948.059692	1169.954224	1164.37915	3023.374756	2379.069824
O14578	O14578	CIT	Citron Rho-interacting kinase	7412.216309	7322.592773	7842.502441	7848.582031	7704.712891	7461.927734	4329.978516	5363.135742	7534.807617	5737.818848	6415.106445
O14579	O14579	COPE	Coatomer subunit epsilon	12592.80762	12464.2627	12032.92285	8531.831055	12663.71973	18946.96094	55460.57031	56072.46094	50359.76563	61146.57813	68774.97656
O14594	O14594	NCAN	Neurocan core protein	5172.430664	9473.388672	8666.740234	8230.479492	4959.947754	4954.915527	11925.31055	5156.302246	15598.55176	12775.59082	14753.61914
O14602;P47813	O14602;P47813	EIF1AY;EIF1AX	"Eukaryotic translation initiation factor 1A, Y-chromosomal;Eukaryotic translation initiation factor 1A, X-chromosomal"	54891.21094	54204.40234	44834.69531	47212.86719	30795.69336	68996.40625	85108.48438	91609.125	46572.47266	65591.78906	100175.8203
O14617	O14617	AP3D1	AP-3 complex subunit delta-1	51209.77734	57507.33203	51203.40234	50919.30469	54780.66406	51073.40234	61696.32813	66613.53906	56971.07813	72692.3125	56818.34766
O14628	O14628	ZNF195	Zinc finger protein 195	1	1	1	1	1	1	2625.472656	1189.85022	4270.340332	5119.303223	3027.116455
O14639	O14639	ABLIM1	Actin-binding LIM protein 1	74538.0625	66540.04688	70261.42969	69895.73438	66347.61719	64666.59375	45299.41016	47410.88281	47458.14844	41232.09766	39542.00391
O14640	O14640	DVL1	Segment polarity protein dishevelled homolog DVL-1	19674.97266	18579.36719	50265.62891	18280.65234	19284.39844	22780.91406	11511.76465	12116.83008	18100.99414	11092.90723	18257.31641
O14646	O14646	CHD1	Chromodomain-helicase-DNA-binding protein 1	8714.670898	16673.56641	Filtered	6492.696777	Filtered	12438.0166	17250.18359	10122.25098	9146.046875	14035.32617	8634.740234
O14647	O14647	CHD2	Chromodomain-helicase-DNA-binding protein 2	1.613636732	428.4138489	31985.82617	Filtered	Filtered	Filtered	25731.43359	17634.66016	27984.05273	27890.33789	28552.28125
O14653	O14653	GOSR2	Golgi SNAP receptor complex member 2	27922.79883	27469.28125	27524.48633	28954.14844	26583.03516	34566.96875	33536.17188	28946.95703	48425.97656	33792.65625	38260.69141
O14656	O14656	TOR1A	Torsin-1A	10405.05273	10788.75586	10606.9668	10371.05762	11871.1748	10746.40137	13162.27539	11972.24512	8607.730469	10572.42578	11713.37207
O14662	O14662	STX16	Syntaxin-16	15290.73047	16152.02539	15313.18945	14299.36035	14373.8457	7333.680664	6387.63623	14742.11133	11536.95996	10019.80371	3413.112061
O14672	O14672	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	93362.33594	94160.77344	87534.21875	82914.66406	88806.44531	79019.9375	105686.1016	91292.65625	102337.7813	92721.29688	90259.35156
O14682	O14682	ENC1	Ectoderm-neural cortex protein 1	1	1	1	1	1	1	10301.77734	10819.65527	10344.66699	15201.02832	14600.77148
O14683	O14683	TP53I11	Tumor protein p53-inducible protein 11	18439.50781	21634.97266	22580.36719	24955.25	25396.79688	19478.56836	32835.28906	24409.01367	28134.80078	27641.87695	24692.74609
O14709	O14709	ZNF197	Zinc finger protein 197	93583.44531	94460.57031	81147.27344	86686.24219	Filtered	Filtered	4050.42041	3578.758789	5121.310547	3645.538574	5813.370117
O14713	O14713	ITGB1BP1	Integrin beta-1-binding protein 1	2116.223877	2493.578857	2397.920166	2699.384521	Filtered	1439.880981	1824.958252	2077.961426	3350.186523	4384.508789	3574.054443
O14727	O14727	APAF1	Apoptotic protease-activating factor 1	5979.177246	8448.911133	6164.578125	6241.547852	6194.705078	6003.146484	5950.557617	6519.088867	5273.456055	5720.902344	6232.444336
O14730	O14730	RIOK3	Serine/threonine-protein kinase RIO3	11605.10059	11374.35938	9606.323242	10649.36914	11123.59766	10975.3252	21491.26367	18962.9043	16013.28516	20338.39453	20969.71289
O14734	O14734	ACOT8	Acyl-coenzyme A thioesterase 8	10957.45898	11107.39453	12721.91602	12904.72266	12106.85156	13569.66895	31079.63281	28948.53906	31201.58984	28341.61719	26048.15625
O14735	O14735	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	61327.1875	65666.83594	60116.73047	55045.84766	65773.94531	50823.11719	51697.14063	44013.96484	28967.8125	51289.89063	47469.64453
O14737	O14737	PDCD5	Programmed cell death protein 5	15139.29395	16886.08594	17159.42773	19157.61914	18170.73047	24398.43945	27284.92578	38658.01953	45746.00781	27987.07031	34564.05859
O14744	O14744	PRMT5	Protein arginine N-methyltransferase 5	43224.96875	39318.07813	40789.35938	42562.29297	41391.09375	40934.76953	52030.66016	52281.33203	50249.74609	65531.49609	69012.6875
O14763	O14763	TNFRSF10B	Tumor necrosis factor receptor superfamily member 10B	Filtered	2158.701172	3682.553467	3335.882813	2813.146973	2785.720703	604.3640137	3154.791748	2502.491211	2000.218262	1469.25647
O14772	O14772	FPGT	Fucose-1-phosphate guanylyltransferase	1190.773926	1087.27002	Filtered	2332.179688	4772.695801	373.9562988	3981.72876	Filtered	5702.266602	3352.94751	4590.762207
O14773	O14773	TPP1	Tripeptidyl-peptidase 1	15465.16895	16804.49609	15483.99121	13508.01074	17848.71094	19043.48438	87905.34375	88497.84375	79784.35938	81410.90625	99998.67188
O14775	O14775	GNB5	Guanine nucleotide-binding protein subunit beta-5	64880.99609	38235.82813	39213.19141	42432.41016	59950.02344	58865.98438	32275.29297	54375.52344	36984.98047	34638.30859	35870.56641
O14776	O14776	TCERG1	Transcription elongation regulator 1	524.6787109	1064.012939	Filtered	845.7739868	Filtered	Filtered	47354.53906	58278.60938	61387.97656	63113.02344	64736.48438
O14782	O14782	KIF3C	Kinesin-like protein KIF3C	Filtered	Filtered	1575.683838	Filtered	Filtered	1558.039795	1153.530762	Filtered	1734.499634	1801.426025	1643.10376
O14786	O14786	NRP1	Neuropilin-1	34534.57422	30902.01758	34224.09766	32108.66016	34735.22656	31882.79102	15952.12598	13392.78223	14785.55762	14545.71484	12508.12891
O14787	O14787	TNPO2	Transportin-2	90348.875	92857.00781	61540.86328	88091.07813	92198.4375	85625.35938	90136	103965.1094	92237.14844	95552.50781	106758.9531
O14795	O14795	UNC13B	Protein unc-13 homolog B	68132.60156	80538.97656	82006.10156	76731.55469	78996.29688	73850.07813	44004.57031	47423.11328	46396.01172	42740.73828	43384.48828
O14802	O14802	POLR3A	DNA-directed RNA polymerase III subunit RPC1	Filtered	Filtered	Filtered	975.53125	1112.759766	Filtered	5401.367188	6498.852051	7438.760254	7144.260742	6480.371094
O14807	O14807	MRAS	Ras-related protein M-Ras	21357.08594	24133.76367	26150.4707	20956.93945	22089.10547	17829.51172	25420.78516	27635.35742	23134.14453	26088.94141	25068.12695
O14810	O14810	CPLX1	Complexin-1	3181.917969	2322.875732	1714.71814	2255.665283	3101.422119	2877.97168	3142.304688	6608.417969	4387.312012	3267.119873	2767.900879
O14818	O14818	PSMA7	Proteasome subunit alpha type-7	497132.4688	477523.875	527934.1875	518782	548933.0625	527852.1875	586162.1875	637486.5625	636889.875	679694.4375	639872.0625
O14828	O14828	SCAMP3	Secretory carrier-associated membrane protein 3	208880.0156	222686.5781	217921.6563	217111.5938	225739.5938	201070.7969	130007.2891	127859.7578	139341.2656	121654.7344	123399.1172
O14880	O14880	MGST3	Microsomal glutathione S-transferase 3	253909.4219	219640.1875	249960.5469	151304.8125	252551.5313	229642.5313	126776.25	87237.46875	78712.625	84426.54688	74623.26563
O14893	O14893	GEMIN2	Gem-associated protein 2	Filtered	Filtered	5008.303223	3584.954346	Filtered	3232.208008	1398.22522	2932.700928	5317.030273	6239.975586	4396.84375
O14907	O14907	TAX1BP3	Tax1-binding protein 3	50550.83594	52526.66406	59764.03906	55265.70703	59811.73438	70206.57813	69116.29688	69256.4375	68631.38281	73202.14063	69412.50781
O14908	O14908	GIPC1	PDZ domain-containing protein GIPC1	10358.03613	11432.05762	10823.02051	13155.61426	22255.42773	10652.4502	16731	18479.69531	11216.17871	8539.114258	8866.970703
O14910	O14910	LIN7A	Protein lin-7 homolog A	24396.63281	23876.45313	24198.52148	22175.37891	30449.14648	21293.94922	26929.53516	28947.22656	33217.82813	30864.44141	28944.83984
O14917	O14917	PCDH17	Protocadherin-17	15421.82129	10052.15918	13723.25293	14009.65137	13200.99609	11521.74219	8664.121094	8555.098633	9605.589844	7581.223633	7050.23584
O14920	O14920	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	8014.449219	8886.911133	6902.462402	8597.652344	8450.126953	7403.452637	9866.413086	3016.738281	6580.558105	6938.791504	7571.268555
O14924	O14924	RGS12	Regulator of G-protein signaling 12	25203.08398	23023.07227	25655.625	24368.83203	21871.66406	23503.43359	14905.13184	12876.37988	14038.2666	12541.41992	12085.58008
O14933	O14933	UBE2L6	Ubiquitin/ISG15-conjugating enzyme E2 L6	12940.12891	14752.7793	20207.51367	13214.89941	15968.13672	21916.24609	17181.12891	23279.56445	12486.73633	22113.83789	26644.51172
O14936	O14936	CASK	Peripheral plasma membrane protein CASK	461293.375	498148.3438	514171.1563	521421.6875	496254.5938	498393	257016.1563	246386.4219	240198.2656	239781.6875	227319.1094
O14939	O14939	PLD2	Phospholipase D2	2064.466553	Filtered	775.9315796	826.7635498	Filtered	1636.92395	5254.76123	4105.053223	2494.356445	3115.137451	4232.181641
O14949	O14949	UQCRQ	Cytochrome b-c1 complex subunit 8	322853.5313	376041.875	330650.4688	385119.4688	389460.2813	356880.5313	395968.875	445434.5	511957.4688	462220.2813	535268.8125
O14950;P19105	O14950;P19105	MYL12B;MYL12A	Myosin regulatory light chain 12B;Myosin regulatory light chain 12A	20218.17188	21266.14844	20013.71094	23847.875	20317.11328	22424.06055	17999.13867	18454.34961	16188.08008	16451.55664	20553.66211
O14964	O14964	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	225112.9844	198711.7813	211169.0469	224206.1719	215890.3281	213323.0938	183833.1719	185941.6406	198373.75	185720.9688	175685.1094
O14967	O14967	CLGN	Calmegin	6924.28125	8526.942383	8755.84375	7105.006836	9667.742188	7848.892578	12648.33594	10411.72852	9434.15625	9418.421875	9249.253906
O14972	O14972	VPS26C	Vacuolar protein sorting-associated protein 26C	39547.28125	40510.80859	39969.46875	36663.11328	39901.85547	38393.85156	33098.03516	40670.49219	35734.04297	33083.92188	31817.44531
O14974	O14974	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	9889.387695	7579.887207	10375.5791	10340.5459	9391.821289	8952.927734	11109.26465	11586.77148	14422.83789	12630.66211	12797.58105
O14976	O14976	GAK	Cyclin-G-associated kinase	48834.5	44765.02344	43173.3125	47298.95313	47785.17188	42453.94531	39227.08984	39195.3125	43169.60156	48856.74609	42076.39844
O14979	O14979	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	1785.516479	3904.354736	Filtered	2268.874023	1652.411987	Filtered	131063.2344	120274.2813	107853.5469	107471.6484	131755.875
O14980	O14980	XPO1	Exportin-1	131279.0469	125615.5234	122215.6406	119619.375	130325.3047	133540.2031	162575.8906	186170.2813	122420.0078	156162.25	175954.1563
O14981	O14981	BTAF1	TATA-binding protein-associated factor 172	3814.141846	Filtered	Filtered	Filtered	1403.792847	Filtered	9641.650391	12791.1416	11564.40625	11675.02148	15312.73438
O14994	O14994	SYN3	Synapsin-3	147065.5	35839.30859	36339.97266	37549.42969	36746.83594	32839.13672	173157.5469	22514.86523	20291.07422	18894.18945	162812.5156
O15014	O15014	ZNF609	Zinc finger protein 609	Filtered	Filtered	Filtered	1216.825073	Filtered	1.080850244	3937.979736	6366.6875	8107.431152	7484.256836	5303.20752
O15020	O15020	SPTBN2	"Spectrin beta chain, non-erythrocytic 2"	246776.7813	248734.875	233393.3281	250134.5469	235353.5781	260210.1563	408665.8438	412683.25	416672.5625	431872.6875	457415.625
O15027	O15027	SEC16A	Protein transport protein Sec16A	4705.762207	4281.855469	8180.129395	3931.4375	9031.386719	4590.270508	41149.53125	50561.70313	47146.28125	44853.78125	52681.62109
O15031	O15031	PLXNB2	Plexin-B2	71161.23438	69838.9375	71662.33594	76322.48438	70522.21875	72251.74219	66398.375	63557.39844	74215.03125	59286.25	60745.75391
O15034	O15034	RIMBP2	RIMS-binding protein 2	15563.16602	14528.63574	16532.5918	14555.31738	15068.0459	14494.16895	5131.763184	4381.998535	5822.195313	5126.251953	5251.076172
O15037	O15037	KHNYN	Protein KHNYN	12415.20898	10244.48535	10626.12305	7920.794922	Filtered	9113.989258	9566.335938	11374.8584	11173.32227	12416.84473	13214.67676
O15040	O15040	TECPR2	Tectonin beta-propeller repeat-containing protein 2	5146.769531	5811.951172	7264.307617	7016.605469	5074.576172	4746.718262	3731.228516	2909.157227	3773.067139	4285.758301	4060.864258
O15041	O15041	SEMA3E	Semaphorin-3E	Filtered	2152.960205	Filtered	Filtered	Filtered	Filtered	3253.289063	1.364827991	3864.990234	3900.171143	3522.706055
O15042	O15042	U2SURP	U2 snRNP-associated SURP motif-containing protein	13433.17285	14254.20508	12632.46094	16137.43262	61010.50781	12761.02539	142102.0313	156207.7656	141610.2656	166755.375	161390.625
O15047	O15047	SETD1A	Histone-lysine N-methyltransferase SETD1A	1	1	1	1	1	1	8365.823242	10379.0918	12248.27539	12458.43066	15145.91602
O15049	O15049	N4BP3	NEDD4-binding protein 3	2630.933594	3170.168213	3596.500732	5468.374512	3006.848145	Filtered	2209.523438	1238.197388	6152.035645	2770.279541	3137.27417
O15061	O15061	SYNM	Synemin	24208.38086	21986.32422	24445.06055	24146.01953	20493.95313	21722.08203	8886.337891	8523.422852	11014.71973	8705.6875	9581.804688
O15063	O15063	GARRE1	Granule associated Rac and RHOG effector protein 1	10215.77539	8816.695313	8503.938477	9723.351563	9297.516602	8457.742188	13088.75195	13329.28516	14949.26563	13545.94824	11677.36328
